order	slide_path	narration
01a	../../assets/063_ai_organization_explainer_clear/01_title_q.png	聞き手: AI を入れれば、仕事は楽になるんじゃないですか。
01b	../../assets/063_ai_organization_explainer_clear/01_title.png	解説: なる部分もあります。ただし使い方を間違えると、人間側の管理仕事が増えます。今日は、プロンプト、Skill、ドメイン知識、AI Team の順に見ていきます。
02a	../../assets/063_ai_organization_explainer_clear/02_team_definition_q.png	聞き手: その AI Team って、最初に言うと何なんですか。
02b	../../assets/063_ai_organization_explainer_clear/02_team_definition.png	解説: 目的に対して、Skill、ドメイン知識、役割、チェック点、引き渡しを固定した AI の作業体制です。人間が毎回やっていた説明、判断、確認、引き渡しを、管理できる形にまとめます。
03a	../../assets/063_ai_organization_explainer_clear/03_problem_q.png	聞き手: 丁寧にプロンプトを書けば十分ではないですか。
03b	../../assets/063_ai_organization_explainer_clear/03_problem.png	解説: 最初はそう見えます。でも、目的、前提、制約、出力形式を人間が毎回説明することになります。書き漏れれば結果がぶれる。つまりプロンプトだけだと、人間に説明疲れが起きます。
04a	../../assets/063_ai_organization_explainer_clear/04_work_q.png	聞き手: では、Skill にすれば安定しますか。
04b	../../assets/063_ai_organization_explainer_clear/04_work.png	解説: 毎回の説明は減ります。ただし今度は、どの Skill を使うべきか、手順が目的に合っているかを管理する必要が出ます。たとえば説明動画なら、台本化や音声化は Skill。何を正しい説明と見るかは、別に決める必要があります。
05a	../../assets/063_ai_organization_explainer_clear/05_not_one_ai_q.png	聞き手: 手順があるのに、なぜドメイン知識が必要なんですか。
05b	../../assets/063_ai_organization_explainer_clear/05_not_one_ai.png	解説: Skill は進め方です。何を正しいと見るかは、業務の用語、基準、制約で決まります。たとえば初見向けにする、特定の説明を外す、実行とチェックを入れる。この判断基準がドメイン知識です。
06a	../../assets/063_ai_organization_explainer_clear/06_repository_q.png	聞き手: 知識を共有すれば、それで終わりですか。
06b	../../assets/063_ai_organization_explainer_clear/06_repository.png	解説: 終わりではありません。ルールや前提が変わったら、知識も更新する必要があります。古い知識のまま AI が動くと、古い正解で作業してしまいます。
07a	../../assets/063_ai_organization_explainer_clear/07_handoff_q.png	聞き手: Skill と知識が揃えば、仕事は回りますか。
07b	../../assets/063_ai_organization_explainer_clear/07_handoff.png	解説: まだ回りません。調査、判断、制作、確認をどの順番で進めるのか。誰が責任を持つのか。どこへ渡すのか。そこを決めないと、人間が毎回交通整理をすることになります。
08a	../../assets/063_ai_organization_explainer_clear/08_or_team_q.png	聞き手: そこで AI Team が出てくるんですね。
08b	../../assets/063_ai_organization_explainer_clear/08_or_team.png	解説: そうです。AI Team は、人間が毎回やっていた交通整理を仕組みに変えます。制作役が作り、チェック役が漏れを見て、記録を残して次へ渡す。ここまでをチーム構成として先に決めます。
09a	../../assets/063_ai_organization_explainer_clear/09_value_q.png	聞き手: でも、AI が忘れるなら人間が確認すればいいのでは。
09b	../../assets/063_ai_organization_explainer_clear/09_value.png	解説: 全部を人間の記憶で追う設計にすると疲弊します。作業漏れ、確認漏れ、根拠漏れを見落としやすい。だから AI Team では、実行役とチェック役を分けます。
10a	../../assets/063_ai_organization_explainer_clear/10_conclusion_q.png	聞き手: では、人間の仕事はなくなるんですか。
10b	../../assets/063_ai_organization_explainer_clear/10_conclusion.png	解説: なくなりません。ただし、全部を覚えて追いかける仕事から、見るべき点を確認する仕事に変わります。目的、実行、チェック、記録、引き渡しをチーム内に固定します。
11a	../../assets/063_ai_organization_explainer_clear/11_before_after_q.png	聞き手: 導入前後で、何が変わるんですか。
11b	../../assets/063_ai_organization_explainer_clear/11_before_after.png	解説: Before では、人間が毎回説明し、判断し、確認し、引き渡します。After では、Skill、知識、チェック点、責任が AI Team に固定されます。人間は全部を見るのではなく、見るべき点を確認します。
12a	../../assets/063_ai_organization_explainer_clear/12_license_q.png	聞き手: 結局、AI Team が必要な理由は何ですか。
12b	../../assets/063_ai_organization_explainer_clear/12_license.png	解説: AI を使うほど、人間には説明、手順管理、知識更新、交通整理、確認の負担が増えるからです。AI Team は、それらを役割、流れ、チェックに変え、組織で扱える仕事にします。
13	../../assets/063_ai_organization_explainer_clear/13_voicevox_credit.png	クレジット: 音声、VOICEVOX、ずんだもん。VOICEVOX、四国めたん。
