order	slide_path	narration
01a	../../assets/073_xrefkit_organization_distribution/01_title_q.png	聞き手: 実行証跡から、組織の知識と手順をどう改善するのですか。
01b	../../assets/073_xrefkit_organization_distribution/01_title.png	解説: Evidenceを人間が評価し、Knowledge、Skill、routing、受入条件の改訂要否を判断します。
02a	../../assets/073_xrefkit_organization_distribution/02_unit_q.png	聞き手: 改訂したKnowledgeやSkillは、そのまま公開するのですか。
02b	../../assets/073_xrefkit_organization_distribution/02_unit.png	解説: 改訂内容を検証し、人間が承認した版だけを配布対象にします。
03a	../../assets/073_xrefkit_organization_distribution/03_package_q.png	聞き手: これらの配布資産は、どこにまとめられるのですか。
03b	../../assets/073_xrefkit_organization_distribution/03_package.png	解説: Pythonパッケージを共通の配布単位とし、実行管理、参照解決、MCP接続、クライアント用ツールを同じ版として扱います。
04a	../../assets/073_xrefkit_organization_distribution/04_generation_q.png	聞き手: 更新途中の資産が混ざることはありませんか。
04b	../../assets/073_xrefkit_organization_distribution/04_generation.png	解説: 実行時資産は世代単位で完成させてから公開し、正式な利用側はcurrent.jsonが示す現在世代を必ず参照します。
05a	../../assets/073_xrefkit_organization_distribution/05_providers_q.png	聞き手: 利用環境が違っても、同じXIDを参照できますか。
05b	../../assets/073_xrefkit_organization_distribution/05_providers.png	解説: 同じXIDを、リポジトリ、導入済みパッケージ、MCPから解決します。競合する本文を黙って選ぶことはありません。
06a	../../assets/073_xrefkit_organization_distribution/06_mcp_q.png	聞き手: MCPサーバーが、責務の作業まで実行するのですか。
06b	../../assets/073_xrefkit_organization_distribution/06_mcp.png	解説: MCPは起動契約、責務定義、XID本文、実行用資産を提供します。AIの作業とコマンド実行はクライアント側が担います。
07a	../../assets/073_xrefkit_organization_distribution/07_bootstrap_q.png	聞き手: クライアントは、受け取った配布物をそのまま信頼するのですか。
07b	../../assets/073_xrefkit_organization_distribution/07_bootstrap.png	解説: 導入または配置した後に、マニフェスト、ハッシュ、版、互換性を確認します。通信や配布元の信頼は配置環境で管理します。
08a	../../assets/073_xrefkit_organization_distribution/08_conclusion_q.png	聞き手: 配布された次の版は、どこへ戻るのですか。
08b	../../assets/073_xrefkit_organization_distribution/08_conclusion.png	解説: 検証された次の版を配布し、次の業務実行ループへ戻します。
