order	slide_path	narration
01a	../../assets/065_xrefkit_repository_overview/01_title_q.png	What is this repository for?
01b	../../assets/065_xrefkit_repository_overview/01_title.png	XRefKit makes domain-guided AI work operable.
02a	../../assets/065_xrefkit_repository_overview/02_not_docs_q.png	Why is an ordinary document repository not enough?
02b	../../assets/065_xrefkit_repository_overview/02_not_docs.png	Storage alone does not control what an AI reads or trusts.
03a	../../assets/065_xrefkit_repository_overview/03_layers_q.png	How is the repository divided?
03b	../../assets/065_xrefkit_repository_overview/03_layers.png	The package and XID-addressed content have separate roles.
04a	../../assets/065_xrefkit_repository_overview/04_runtime_q.png	Can an AI simply open and follow a Skill?
04b	../../assets/065_xrefkit_repository_overview/04_runtime.png	A Skill runs inside the XRefKit runtime envelope.
05a	../../assets/065_xrefkit_repository_overview/05_guard_q.png	How is context kept small in brownfield work?
05b	../../assets/065_xrefkit_repository_overview/05_guard.png	Select targets and findings before loading details.
06a	../../assets/065_xrefkit_repository_overview/06_handoff_q.png	How do repository, package, and MCP use the same knowledge?
06b	../../assets/065_xrefkit_repository_overview/06_handoff.png	Provider-independent XID resolution preserves identity.
07a	../../assets/065_xrefkit_repository_overview/07_human_q.png	Where do humans still decide?
07b	../../assets/065_xrefkit_repository_overview/07_human.png	Humans retain trade-offs, risk acceptance, and approvals.
08a	../../assets/065_xrefkit_repository_overview/08_conclusion_q.png	What is XRefKit now?
08b	../../assets/065_xrefkit_repository_overview/08_conclusion.png	A portable Python package for distributing domain-guided AI work.
