order	image	narration
01a	../../assets/073_xrefkit_organization_distribution/01_title_q.png	Question: How do we find the runs that need improvement among many responsibility executions?
01b	../../assets/073_xrefkit_organization_distribution/01_title.png	Answer: Skill Run Dashboard lists execution state, unresolved items, handoffs, and missing information so people can select runs to inspect.
02a	../../assets/073_xrefkit_organization_distribution/02_unit_q.png	Question: Which states should we inspect in the run list?
02b	../../assets/073_xrefkit_organization_distribution/02_unit.png	Answer: Combine blocked state, closure, quality review, unresolved concerns, risk, and missing information to select runs for detailed inspection.
03a	../../assets/073_xrefkit_organization_distribution/03_package_q.png	Question: What should we inspect for one responsibility execution?
03b	../../assets/073_xrefkit_organization_distribution/03_package.png	Answer: Inspect work items, artifacts, concerns, progress, and closure to distinguish completed work from remaining work.
04a	../../assets/073_xrefkit_organization_distribution/04_generation_q.png	Question: Can we tell which Knowledge was selected and actually used?
04b	../../assets/073_xrefkit_organization_distribution/04_generation.png	Answer: Correlate client and MCP records by run ID, then inspect XID selection, resolution, loading, and application as separate stages.
05a	../../assets/073_xrefkit_organization_distribution/05_providers_q.png	Question: How do we detect missing evidence needed for an improvement decision?
05b	../../assets/073_xrefkit_organization_distribution/05_providers.png	Answer: Show missing information and correlation gaps within one run and across runs, then rank them as observation-design improvements.
06a	../../assets/073_xrefkit_organization_distribution/06_mcp_q.png	Question: Does Skill Run Dashboard automatically rewrite Knowledge or Skills?
06b	../../assets/073_xrefkit_organization_distribution/06_mcp.png	Answer: Skill Run Dashboard supplies evidence. People decide what to revise and what to approve.
07a	../../assets/073_xrefkit_organization_distribution/07_bootstrap_q.png	Question: How does an approved improvement become the next version?
07b	../../assets/073_xrefkit_organization_distribution/07_bootstrap.png	Answer: Revise canonical sources, validate XID references, contracts, versions, and compatibility, then obtain human approval for the next version.
08a	../../assets/073_xrefkit_organization_distribution/08_conclusion_q.png	Question: How do we confirm that the distributed version improved later executions?
08b	../../assets/073_xrefkit_organization_distribution/08_conclusion.png	Answer: Distribute the approved version, use it in subsequent responsibility executions, and evaluate the same dashboard measures again.
