order	slide_path	narration
01	../../assets/063_ai_organization_explainer_clear/01_title.png	Answer: AI can accelerate individual work, but verification, judgment, and handoff may remain.
02	../../assets/063_ai_organization_explainer_clear/02_team_definition.png	Answer: When AI stops midway, unfinished work, evidence, and next ownership can disappear into a conversation.
03	../../assets/063_ai_organization_explainer_clear/03_problem.png	Answer: Prompts alone leave repeated explanation and completion judgment to people.
04	../../assets/063_ai_organization_explainer_clear/04_work.png	Answer: A Skill narrows delegated responsibility to a method, output boundary, needed Knowledge, and handoff.
05	../../assets/063_ai_organization_explainer_clear/05_not_one_ai.png	Answer: Semantic routing selects the next Skill from the Goal and current state.
06	../../assets/063_ai_organization_explainer_clear/06_repository.png	Answer: Skills hold methods; Knowledge holds selected judgment material addressed by XID.
07	../../assets/063_ai_organization_explainer_clear/07_handoff.png	Answer: The workflow protocol records work, artifacts, evidence, uncertainty, and handoff for each Skill Run.
08	../../assets/063_ai_organization_explainer_clear/08_burden_flow.png	Answer: Goal, routing, Skill Run, verify, and handoff prevent incomplete work from looking successful.
09	../../assets/063_ai_organization_explainer_clear/08_or_team.png	Answer: Verify checks process completeness. Quality review and people accept output content separately.
10	../../assets/063_ai_organization_explainer_clear/09_value.png	Answer: A stopped run can resume or hand off from its recorded state; the Goal continues until acceptance conditions are met.
11	../../assets/063_ai_organization_explainer_clear/10_conclusion.png	Answer: People own goals, acceptance, approvals, and exceptions rather than watching every detail.
12	../../assets/063_ai_organization_explainer_clear/11_before_after.png	Answer: The result is continuous, reviewable work execution rather than isolated chat.
13	../../assets/063_ai_organization_explainer_clear/12_license.png	Answer: This does not prevent AI from stopping. It prevents work from being lost when AI stops.
